AAB       	Aberdeen International Inc                        	TSX       
PBL       	Pollard Banknote Limited                          	TSX       
PBY.UN    	Canso Credit Income Fund Units                    	TSX       
PCD.UN    	Pathfinder Income Fund                            	TSX       
PCY       	Prophecy Development Corp                         	TSX       
PD        	Precision Drilling Corp                           	TSX       
PDC       	Powershares CDN Div ETF                           	TSX       
PDF       	Purpose Core Dividend Fund ETF                    	TSX       
PDIV      	Purpose Enhanced Dividend Fund ETF                	TSX       
PDL       	North American Palladium Ltd                      	TSX       
PDV       	Prime Dividend Corp Cl A                          	TSX       
PDV.PR.A  	Prime Dividend Corp Pref                          	TSX       
PEGI      	Pattern Energy Group Inc                          	TSX       
PEU       	Purpose Enhanced US Equity Fund                   	TSX       
PEU.B     	Purpose Enhanced US Equity Fd Nc Hedg             	TSX       
PEY       	Peyto Exploration and Dvlpmnt Corp                	TSX       
PFB       	Pfb Corp                                          	TSX       
PFG       	Purpose Global Financials Income ETF              	TSX       
PFH.F     	Powershares HY Corp Bond Index ETF                	TSX       
PFL       	Powershares 1 To 3 Yr Lad Float Rate ETF          	TSX       
PFT.UN    	Canadian Pref Share Trust                         	TSX       
PG        	Premier Gold Mines Ltd                            	TSX       
PGF       	Pengrowth Energy Corp                             	TSX       
PGI.UN    	Pimco Global Inc Opportunities Fund               	TSX       
PGLC      	Pershing Gold Corp                                	TSX       
PHE       	Purpose Tactical Hedged Equity Fund ETF           	TSX       
PHE.B     	Purpose Tactical Hedged Equity Fund ETF           	TSX       
PHO       	Photon Control Inc                                	TSX       
PHR       	Purpose Duration Hedged Real Estate ETF           	TSX       
PHW       	Purpose Intl Tactical Hedged Equity ETF           	TSX       
PHX       	Phx Energy Services Corp                          	TSX       
PHYS      	Sprott Physical Gold Trust CAD                    	TSX       
PHYS.U    	Sprott Physical Gold Trust USD                    	TSX       
PIC.A     	Premium Income A                                  	TSX       
PIC.PR.A  	Premium Income Pr                                 	TSX       
PID       	Purpose Intl Dividend Fund ETF                    	TSX       
PIF       	Polaris Infrastructure Inc                        	TSX       
PIN       	Purpose Monthly Income Fund ETF                   	TSX       
PINC      	Purpose Multi Asset Income Fund                   	TSX       
PINV      	Purpose Global Innovators Fund                    	TSX       
PKI       	Parkland Fuel Corp                                	TSX       
PL        	Pinnacle Renewable Holdings Inc                   	TSX       
PLC       	Park Lawn Corp                                    	TSX       
PLI       	Prometic Life Sciences Inc                        	TSX       
PLV       	Powershares Low Vol Portfolio ETF                 	TSX       
PLZ.DB.E  	Plaza Retail REIT 5.10 Pct Debs                   	TSX       
PLZ.UN    	Plaza Retail REIT                                 	TSX       
PMB.UN    	Picton Mahoney Tactical Income Fund               	TSX       
PME       	Sentry Select Primary Metals Corp                 	TSX       
PMIF      	Pimco Monthly Income Fund                         	TSX       
PMIF.U    	Pimco Monthly Income Fund                         	TSX       
PMM       	Purpose Multi Strategy Mkt Neutral Fund           	TSX       
PMN       	Promis Neurosciences Inc                          	TSX       
PMT       	Perpetual Energy Inc                              	TSX       
PMTS      	CPI Card Group Inc                                	TSX       
PNE       	Pine Cliff Energy Ltd                             	TSX       
PNP       	Pinetree Capital Ltd                              	TSX       
POM       	Polymet Mining Corp                               	TSX       
PONY      	Painted Pony Energy Ltd                           	TSX       
POU       	Paramount Resources Ltd                           	TSX       
POW       	Power Corporation of Canada Sv                    	TSX       
POW.PR.A  	Power Corp A Pr                                   	TSX       
POW.PR.B  	Power Corp Pref Shares Series B                   	TSX       
POW.PR.C  	Power Corp of Canada 5.80%                        	TSX       
POW.PR.D  	Power Corp Non-Cum 1st Pfd Shs Ser D              	TSX       
POW.PR.E  	Power Corp Part Pr                                	TSX       
POW.PR.F  	Power Corp 1st Pr                                 	TSX       
POW.PR.G  	Power Corp of Canada 5.60 Pct Pref Ser G          	TSX       
PPL       	Pembina Pipeline Corp                             	TSX       
PPL.DB.F  	Pembina Pipeline Corp 5.75 Pct Debs F             	TSX       
PPL.PF.A  	Pembina Pipeline Corp Pref Ser 21                 	TSX       
PPL.PR.A  	Pembina Pipeline Corp Pref Class A                	TSX       
PPL.PR.C  	Pembina Pipeline Corp Pref Ser 3                  	TSX       
PPL.PR.E  	Pembina Pipeline Corp Pref Ser 5                  	TSX       
PPL.PR.G  	Pembina Pipeline Corp Pref Ser 7                  	TSX       
PPL.PR.I  	Pembina Pipeline Corp Pref Ser 9                  	TSX       
PPL.PR.K  	Pembina Pipeline Corp Pref Ser 11                 	TSX       
PPL.PR.M  	Pembina Pipeline Corp Pref Ser 13                 	TSX       
PPL.PR.O  	Pembina Pipeline Corp Pref Series 15              	TSX       
PPL.PR.Q  	Pembina Pipeline Corp Pref Series 17              	TSX       
PPL.PR.S  	Pembina Pipeline Corp Pref Series 19              	TSX       
PPR       	Prairie Provident Resources Inc                   	TSX       
PPS       	Powershares CDN Pref Share ETF                    	TSX       
PR        	Lysander Slater Pref Share Activ ETF              	TSX       
PRA       	Purpose Diversified Real Asset Fund ETF           	TSX       
PRM       	Big Pharma Split Corp                             	TSX       
PRM.PR.A  	Big Pharma Split Corp Pref Shares                 	TSX       
PRN       	Profound Medical Corp                             	TSX       
PRP       	Purpose Conservative Income Fund ETF              	TSX       
PRQ       	Petrus Resources Ltd                              	TSX       
PRU       	Perseus Mining Limited                            	TSX       
PSA       	Purpose High Interest Savings ETF                 	TSX       
PSB       	Pwrshrs 1 To 5 Yr Ladder Inv Grd Bd ETF           	TSX       
PSD       	Pulse Seismic Inc                                 	TSX       
PSI       	Pason Systems Inc                                 	TSX       
PSK       	Prairiesky Royalty Ltd                            	TSX       
PSLV      	Sprott Physical Silver Trust CAD                  	TSX       
PSLV.U    	Sprott Physical Silver Trust USD                  	TSX       
PSU.U     	Purpose US Cash ETF                               	TSX       
PSY       	Pwrshr Glb Sharehldr Yield ETF                    	TSX       
PSY.U     	Invesco Glb Sharehldr Yield USD                   	TSX       
PTB       	Powershares Tactical Bond ETF                     	TSX       
PTG       	Pivot Technology Solutions Inc                    	TSX       
PTM       	Platinum Group Metals Ltd                         	TSX       
PTM.WT.U  	Platinum Group Metals Ltd Wts                     	TSX       
PTS       	Points International Ltd                          	TSX       
PUD       	Purpose US Dividend Fund ETF                      	TSX       
PUD.B     	Purpose US Dividend Fund ETF Nc Hedged            	TSX       
PVG       	Pretium Resources Inc                             	TSX       
PVS.PR.B  	Partners Value Split Corp Pref Ser 3              	TSX       
PVS.PR.D  	Partners Value Split Corp Pref Ser 6              	TSX       
PVS.PR.E  	Partners Value Split Corp Pref Ser 7              	TSX       
PVS.PR.F  	Partners Value Split Corp Pref Ser 8              	TSX       
PVS.PR.G  	Partners Value Split Corp                         	TSX       
PWF       	Power Financial Corp                              	TSX       
PWF.PR.A  	Power Fin Ser A Pr                                	TSX       
PWF.PR.E  	Power Fin Ser D Pr                                	TSX       
PWF.PR.F  	Power Financial Corp Pref Ser E                   	TSX       
PWF.PR.G  	Power Financial Corp 5.90% Pr Series F            	TSX       
PWF.PR.H  	Power Financial Corp 5.75% Pr Series H            	TSX       
PWF.PR.I  	Power Financial Corp 6% Series I                  	TSX       
PWF.PR.K  	Power Fin Corp 4.95% Ser K                        	TSX       
PWF.PR.L  	Power Financial Corp Series L Pfd                 	TSX       
PWF.PR.O  	Power Financial Corp 5.80 Pref Ser O              	TSX       
PWF.PR.P  	Pwr Fnl Corp 4.40 Non Cumul Pref Ser P            	TSX       
PWF.PR.Q  	Power Fin Corp 4.40 Pct Pref Ser Q                	TSX       
PWF.PR.R  	Power Financial Corp 5.5 Pct Pref Ser R           	TSX       
PWF.PR.S  	Power Financial Corp Pref Ser S                   	TSX       
PWF.PR.T  	Power Financial Corp 4.20 Pct Pref Ser T          	TSX       
PWF.PR.Z  	Power Financial Corp 5.15 Pct Pref Ser V          	TSX       
PXC       	Powershr FTSE RAFI CAD ETF                        	TSX       
PXG       	Pwrshr FTSE RAFI Global Plus Fdamntl ETF          	TSX       
PXS       	Pwrshr FTSE RAFI US Fdamntl ETF II                	TSX       
PXS.U     	Pwrshr FTSE RAFI US Fdamntl ETF USD II            	TSX       
PXT       	Parex Resources Inc                               	TSX       
PXU.F     	Invesco FTSE RAFI U.S. Index ETF                  	TSX       
PXX       	Blackpearl Resources Inc                          	TSX       
PYF       	Purpose Premium Yield Fund ETF                    	TSX       
PYF.U     	Purpose Premium Yield Fund Nh USD ETF             	TSX       
PZA       	Pizza Pizza Royalty Corp                          	TSX       
PZC       	Pwrshr FTSE RAFI CDN Sml Mid Fdamntl ETF          	TSX       
PZW       	Pwrshr FTSE RAFI Glb Sml Mid Fdamntl ETF          	TSX       
PZW.F     	Powershares FTSE RAFI Glb Sml Mid Fndmtl          	TSX       
QAH       	Mackenzie US Large Cap Eqty Idx CAD Hgd           	TSX       
QBB       	Mackenzie CDN Aggregate Bond Index ETF            	TSX       
QBR.A     	Quebecor Inc Cl.A Mv                              	TSX       
QBR.B     	Quebecor Inc Cl.B Sv                              	TSX       
QCD       	Quantshrs Enh Core CDN Equity ETF                 	TSX       
QCE       	Mackenzie CDN Large Cap Equity Index ETF          	TSX       
QCN       	Mackenzie Canadian Equity Index ETF               	TSX       
QDX       	Mackenzie International Equity Index ETF          	TSX       
QEC       	Questerre Energy Corp                             	TSX       
QEM       	Quantshrs Enh Core Emg Mkt Eqt ETF                	TSX       
QGL       	Quantshrs Global Equity Rotation ETF              	TSX       
QHY       	Mackenzie US High Yld Bnd Idx CAD Hgd             	TSX       
QIE       	Quantshrs Enh Core Intl Equity ETF                	TSX       
QMA       	Quantshrs Multiasset Allocation ETF               	TSX       
QMY       	Quantshrs Multiasset Inc Allocation ETF           	TSX       
QQC.F     	Powershares QQQ Index ETF                         	TSX       
QSP.UN    	Restaurant Brands Intl Ltd Partnership            	TSX       
QSR       	Restaurant Brands International Inc               	TSX       
QTRH      	Quarterhill Inc                                   	TSX       
QUIG      	Mackenzie US Inv Grd Corp Bd Idx CAD Hgd          	TSX       
QUS       	Quantshrs Enh Core US Equity ETF                  	TSX       
QUU       	Mackenzie US Large Cap Equity Index ETF           	TSX       
QXM       	F A Morningstar Nb Quebec ETF                     	TSX       
RAI.UN    	Real Asset Income and Growth Fund                 	TSX       
RAV.UN    	Ravensource Fund                                  	TSX       
RAY.A     	Stingray Digital Group Inc Sv                     	TSX       
RAY.B     	Stingray Digital Group Inc Variable Sv            	TSX       
RBA       	Ritchie Bros Auctioneers Inc                      	TSX       
RBDI      	RBC Bluebay Global Income ETF                     	TSX       
RBN.UN    	Blue Ribbon Income Fund                           	TSX       
RBNK      	RBC CDN Bank Yield Index ETF                      	TSX       
RBO       	RBC 1 To 5 Yr Laddered Corp Bond ETF              	TSX       
RBOT      	Horizons Robotics Automation Idx ETF              	TSX       
RBOT.U    	Horizons Robotics and Automa Idx ETF USD          	TSX       
RCD       	RBC Quant CDN Dividend Leaders ETF                	TSX       
RCE       	RBC Quant Canadian Equity Leaders ETF             	TSX       
RCH       	Richelieu Hardware Ltd                            	TSX       
RCI.A     	Rogers Communications Inc Cl.A Mv                 	TSX       
RCI.B     	Rogers Communications Inc Cl.B Nv                 	TSX       
RCO.UN    	Middlefield Can Global REIT Income Fund           	TSX       
RDL       	Redline Communications Group Inc                  	TSX       
REAL      	Real Matters Inc                                  	TSX       
RECP      	Recipe Unlimited Corp.                            	TSX       
REI.UN    	Riocan Real Est Un                                	TSX       
REIT      	Powershares Sptsx REIT Income Idx ETF             	TSX       
RET       	Reitmans Canada                                   	TSX       
RET.A     	Reitmans [Canada] Ltd Cl.A Nv                     	TSX       
RFP       	Resolute Forest Products Inc                      	TSX       
RGRE      	RBC Qnt Glbl Real Estate Ldrs                     	TSX       
RGX       	Argex Titanium Inc                                	TSX       
RIB.UN    	Ridgewood CAD Invest Grade Bond Fund              	TSX       
RID       	RBC Quant EAFE Div Leaders ETF                    	TSX       
RID.U     	RBC Quant EAFE Div Leaders USD ETF                	TSX       
RIDH      	RBC Quant EAFE Div Leaders ETF                    	TSX       
RIE       	RBC Quant EAFE Equity Leaders ETF                 	TSX       
RIE.U     	RBC Quant EAFE Equity Leaders ETF USD             	TSX       
RIEH      	RBC Quant EAFE Equity Leaders CAD Heg ETF         	TSX       
RIG       	RBC Quant Global Infras Leaders ETF               	TSX       
RIG.U     	RBC Quant Global Infras Leaders ETF USD           	TSX       
RIT       	First Asset Canadian REIT ETF                     	TSX       
RLB       	RBC 1 To 5 Year Laddered Can Bond ETF             	TSX       
RLD       	RBC Strategic Global Div Leaders ETF              	TSX       
RMBO      	RBC 6 To 10 Yr CDN Corp Bond ETF                  	TSX       
RME       	Rocky Mountain Dealerships Inc                    	TSX       
RMX       	Rubicon Minerals Corp                             	TSX       
RNW       	Transalta Renewables Inc                          	TSX       
RNX       	Royal Nickel Corp                                 	TSX       
ROOT      	Roots Corporation                                 	TSX       
ROXG      	Roxgold Inc                                       	TSX       
RPD       	RBC Quant European Div Leaders ETF                	TSX       
RPD.U     	RBC Quant European Div Leaders ETF USD            	TSX       
RPDH      	RBC Quant European Div Leaders ETF                	TSX       
RPF       	RBC Canadian Pref Share ETF                       	TSX       
RPI.UN    	Richards Packaging Income Fund                    	TSX       
RPSB      	RBC Phn Short Term CDN Bond ETF                   	TSX       
RQG       	RBC Target 2019 Corp Bond Index ETF               	TSX       
RQH       	RBC Target 2020 Corp Bond Index ETF               	TSX       
RQI       	RBC Target 2021 Corp Bond Index ETF               	TSX       
RQJ       	RBC Target 2022 Corp Bond ETF                     	TSX       
RQK       	RBC Target 2023 Corp Bond ETF                     	TSX       
RQL       	RBC Target 2024 Corp Bond Index ETF               	TSX       
RSI       	Rogers Sugar Inc                                  	TSX       
RSI.DB.E  	Rogers Sugar Inc 5Pct Debs                        	TSX       
RSI.DB.F  	Rogers Sugar Inc 4.75 Pct Debs                    	TSX       
RTG       	Rtg Mining Inc                                    	TSX       
RTU.UN    	CDN Resources Un                                  	TSX       
RUBH      	RBC US Banks Yield CAD Hgd Index ETF              	TSX       
RUBY      	RBC US Banks Yield Index ETF CAD                  	TSX       
RUBY.U    	RBC US Banks Yield Index ETF USD                  	TSX       
RUD       	RBC Quant US Div Leaders ETF                      	TSX       
RUD.U     	RBC Quant US Div Leaders USD ETF                  	TSX       
RUDH      	RBC Quant US Div Leaders ETF                      	TSX       
RUE       	RBC Quant US Equity Leaders ETF                   	TSX       
RUE.U     	RBC Quant US Equity Leaders ETF USD               	TSX       
RUEH      	RBC Quant US Equity Leaders CAD Heg ETF           	TSX       
RUS       	Russel Metals                                     	TSX       
RUSB      	RBC Short Term US Corp Bond ETF                   	TSX       
RUSB.U    	RBC Short Term US Corp Bond USD                   	TSX       
RVX       	Resverlogix Corp                                  	TSX       
RVX.WT    	Resverlogix Corp Wts                              	TSX       
RWC       	First Asset MSCI Canada Low Risk Wtd ETF          	TSX       
RWE       	First Asset MSCI Europe Lr Wgtd ETF               	TSX       
RWE.B     	First Asset MSCI Europe Lr Wgtd Unhg ETF          	TSX       
RWU       	First Asset MSCI USA Lr Wgtd ETF                  	TSX       
RWU.B     	First Asset MSCI USA Lr Wgtd Unhedg ETF           	TSX       
RWW       	First Asset MSCI World Low Risk Wtd ETF           	TSX       
RWW.B     	First Asset MSCI Wld Lr Wtd Uh ETF                	TSX       
RWX       	Fa MSCI Intl Low Risk Weighted ETF                	TSX       
RWX.B     	Fa MSCI Intl Low Risk Weighted Unhgd ETF          	TSX       
RXD       	RBC Quant Emrg Mkts Div Leaders ETF               	TSX       
RXD.U     	RBC Quant Emrg Mkts Div Leaders ETF USD           	TSX       
RXE       	RBC Quant Emrg Mkts Equity Leaders ETF            	TSX       
RXE.U     	RBC Quant Emrg Mkts Eqt Leaders ETF USD           	TSX       
RY        	Royal Bank of Canada                              	TSX       
RY.PR.A   	Royal Bank of Canada Prf Series Aa                	TSX       
RY.PR.C   	Royal Bank of Can. First Pref Ser AC              	TSX       
RY.PR.E   	RBC Non-Cum First Pr Shs. Series Ae               	TSX       
RY.PR.F   	RBC Non-Cum First Pref Ser Af                     	TSX       
RY.PR.G   	RBC Non-Cum First Pr Series Ag                    	TSX       
RY.PR.H   	Royal Bank Pref Ser Bb                            	TSX       
RY.PR.I   	Royal Bank Pref Ser Aj                            	TSX       
RY.PR.J   	Royal Bank Pref Ser Bd                            	TSX       
RY.PR.K   	Royal Bank Pref Ser AK                            	TSX       
RY.PR.L   	Royal Bank Pref Ser Al                            	TSX       
RY.PR.M   	Royal Bank Pref Ser Bf                            	TSX       
RY.PR.N   	Royal Bank Pref Ser Bh                            	TSX       
RY.PR.O   	Royal Bank Pref Ser Bi                            	TSX       
RY.PR.P   	Royal Bank Pref Ser Bj                            	TSX       
RY.PR.Q   	Royal Bank Pref Ser Bk                            	TSX       
RY.PR.R   	Royal Bank Pref Ser Bm                            	TSX       
RY.PR.S   	RBC Pref Shares Series Bo                         	TSX       
RY.PR.W   	Royal Bank Pref 4.90% Ser. W                      	TSX       
RY.PR.Z   	RBC First Pref Sh Series Az                       	TSX       
S         	Sherritt Intl Rv                                  	TSX       
S.WT      	Sherritt International Corporation Wts            	TSX       
SAM       	Starcore International Mines Ltd                  	TSX       
SAP       	Saputo Inc                                        	TSX       
SAU       	ST Augustine Gold and Copper Ltd                  	TSX       
SBB       	Sabina Gold and Silver Corp                       	TSX       
SBC       	Brompton Split Banc Corp Cl A                     	TSX       
SBC.PR.A  	Brompton Split Banc Corp Pref                     	TSX       
SBI       	Serabi Gold Plc                                   	TSX       
SBN       	S Split Corp Cl.A                                 	TSX       
SBN.PR.A  	S Split Corp Pref A                               	TSX       
SBND      	Purpose Sh Dur Tactical Bd Fd ETF                 	TSX       
SBR       	Silver Bear Resources Plc                         	TSX       
SBT.B     	Silver Bullion Trust CAD ETF Non Cur              	TSX       
SBT.U     	Silver Bullion Trust USD ETF Non Cur              	TSX       
SCAD      	Scotia Strategic CDN Eqty ETF Portfolio           	TSX       
SCB       	Street Capital Group Inc                          	TSX       
SCL       	Shawcor Ltd                                       	TSX       
SCU       	The Second Cup Ltd                                	TSX       
SCY       	Scandium International Mining Corp                	TSX       
SDY       	Strad Energy Services Ltd                         	TSX       
SEA       	Seabridge Gold Inc                                	TSX       
SEC       	Senvest Capital                                   	TSX       
SEED      	Evolve Marijuana ETF                              	TSX       
SES       	Secure Energy Services Inc                        	TSX       
SEV       	Spectra7 Microsystems Inc                         	TSX       
SFD       	Nxt Energy Solutions Inc                          	TSX       
SFIX      	Scotia Strategic Fixed Inc ETF Portfolio          	TSX       
SGQ       	Southgobi Resources Ltd                           	TSX       
SGY       	Surge Energy Inc                                  	TSX       
SGY.DB    	Surge Energy Inc 5.75 Pct Debs                    	TSX       
SHC       	Sphere FTSE Cda Sustainable Yld ETF               	TSX       
SHE       	Sphere FTSE Euro Sustainable Yld ETF              	TSX       
SHLE      	Source Energy Services Ltd                        	TSX       
SHOP      	Shopify Inc                                       	TSX       
SHZ       	Sphere FTSE Emerg Mkts Yld ETF                    	TSX       
SIA       	Sienna Senior Living Inc                          	TSX       
SID       	First Asset US Trendleaders ETF                   	TSX       
SII       	Sprott Inc                                        	TSX       
SINT      	Scotia Strategic Intl Eqty ETF Portfolio          	TSX       
SIS       	Savaria Corp                                      	TSX       
SJ        	Stella Jones Inc                                  	TSX       
SJR.B     	Shaw Communications Inc Cl.B Nv                   	TSX       
SJR.PR.A  	Shaw Communications Inc Pref Ser A                	TSX       
SJR.PR.B  	Shaw Communications Inc Pref Ser B                	TSX       
SKG.UN    	Skylon Growth & Income Fund                       	TSX       
SLF       	Sun Life Financial Inc                            	TSX       
SLF.PR.A  	Sun Life Pref Ser 1                               	TSX       
SLF.PR.B  	Sun Life Pref Ser 2                               	TSX       
SLF.PR.C  	Sun Life Pref Ser 3                               	TSX       
SLF.PR.D  	Sun Life Pref Ser 4                               	TSX       
SLF.PR.E  	Sun Life Pref Ser 5                               	TSX       
SLF.PR.G  	Sun Life Pref Ser 8R                              	TSX       
SLF.PR.H  	Sun Life Pref Ser H                               	TSX       
SLF.PR.I  	Sun Life Pref Ser 12R                             	TSX       
SLF.PR.J  	Sun Life Pref Ser 9Qr                             	TSX       
SLF.PR.K  	Sun Life Pref Ser 11Qr                            	TSX       
SLR       	Solitario Zinc Corp                               	TSX       
SMC       	Sulliden Mining Capital Inc                       	TSX       
SMF       	SEMAFO J                                          	TSX       
SMT       	Sierra Metals Inc                                 	TSX       
SMU.UN    	Summit Industrial Income REIT                     	TSX       
SNC       	Snc-Lavalin Sv                                    	TSX       
SOLG      	Solgold Plc                                       	TSX       
SOP       	Soperior Fertilizer Corp                          	TSX       
SOT.DB    	Slate Office REIT 5.25 Pct Debs                   	TSX       
SOT.UN    	Slate Office REIT                                 	TSX       
SOX       	Stuart Olson Inc                                  	TSX       
SOX.DB.A  	Stuart Olson Inc 6 Pct Debs A                     	TSX       
SOY       	Sunopta Inc                                       	TSX       
SPB       	Superior Plus Corp                                	TSX       
SPG       	Spark Power Group Inc                             	TSX       
SPG.WT    	Spark Power Group Inc Wts                         	TSX       
SPPP      	Sprott Physical Platinum Palladium CAD            	TSX       
SPPP.U    	Sprott Physical Platinum Palladium USD            	TSX       
SQP       	Strongco Corp                                     	TSX       
SRHI      	Sprott Resource Holdings Inc                      	TSX       
SRHI.WT   	Sprott Resource Holdings Inc Wts                  	TSX       
SRT.U     	Slate Retail REIT USD                             	TSX       
SRT.UN    	Slate Retail REIT                                 	TSX       
SRU.UN    	Smartcentres Real Estate Investment Trust         	TSX       
SRV.UN    	Sir Royalty Income Fund                           	TSX       
SRX       	Storm Resources Ltd                               	TSX       
SSF.UN    	Symphony Floating Rate Sr Loan Fd                 	TSX       
SSL       	Sandstorm Gold Ltd                                	TSX       
SSL.WT    	Sandstorm Gold Ltd Wts                            	TSX       
SSRM      	Ssr Mining Inc                                    	TSX       
STEP      	Step Energy Services Ltd                          	TSX       
STGO      	Steppe Gold Ltd                                   	TSX       
STLC      	Stelco Holdings Inc                               	TSX       
STN       	Stantec Inc                                       	TSX       
STPL      	BMO Glb Consumer Staples Hgd To CAD ETF           	TSX       
SU        	Suncor Energy Inc                                 	TSX       
SUM       	Solium Capital Inc                                	TSX       
SUSA      	Scotia Strategic US Eqty ETF Portfolio            	TSX       
SVB       	Silver Bull Resources Inc                         	TSX       
SVM       	Silvercorp Metals Inc                             	TSX       
SVR       	Ishares Silver Bullion ETF Hdg                    	TSX       
SVR.C     	Ishares Silver Bullion ETF Non Hdg                	TSX       
SW        	Sierra Wireless                                   	TSX       
SWH       	Sunwah International Limited                      	TSX       
SWP       	Swiss Water Decaffeinated Coffee Inc.             	TSX       
SWY       	Stornoway Diamond Corp                            	TSX       
SWY.DB.U  	Stornoway Diamond Corp 6.25 Pct USD Debs          	TSX       
SXI       	Synex Intl J                                      	TSX       
SXP       	Supremex Inc                                      	TSX       
SYLD      	Purpose Strategic Yield Fund                      	TSX       
T         	Telus Corp                                        	TSX       
TA        	Transalta Corp                                    	TSX       
TA.PR.D   	Transalta Corp Prfd Series A                      	TSX       
TA.PR.E   	Transalta Corp Pref Ser B                         	TSX       
TA.PR.F   	Transalta Corp Pref Ser C                         	TSX       
TA.PR.H   	Transalta Corp Pref Sh Series E                   	TSX       
TA.PR.J   	Transalta Corp Pref Ser G                         	TSX       
TAO       	Tag Oil Ltd                                       	TSX       
TAO.WT    	Tag Oil Ltd Wts                                   	TSX       
TBL       	Taiga Building Products Ltd                       	TSX       
TC        	Tucows Inc                                        	TSX       
TCL.A     	Transcontinental Inc Cl A Sv                      	TSX       
TCL.B     	Transcontinental Inc Cl B Mv                      	TSX       
TCN       	Tricon Capital Group Inc                          	TSX       
TCN.DB.U  	Tricon Capital Group 5.75 Pct Debs USD            	TSX       
TCS       	Tecsys Inc J                                      	TSX       
TCSB      	TD Select Short Term Corporate Bond Ladd          	TSX       
TCT.UN    	Top 10 Canadian Financial Trust                   	TSX       
TCW       	Trican Well                                       	TSX       
TD        	Toronto-Dominion Bank                             	TSX       
TD.PF.A   	TD Bank Pref Ser 1                                	TSX       
TD.PF.B   	TD Bank Pref Ser 3                                	TSX       
TD.PF.C   	TD Bank Pref Ser 5                                	TSX       
TD.PF.D   	TD Bank Pref Ser 7                                	TSX       
TD.PF.E   	TD Bank Pref Ser 9                                	TSX       
TD.PF.F   	TD Bank Pref Ser 11                               	TSX       
TD.PF.G   	TD Bank Pref Ser 12                               	TSX       
TD.PF.H   	TD Bank Pref Ser 14                               	TSX       
TD.PF.I   	TD Bank Pref Ser 16                               	TSX       
TD.PF.J   	TD Bank Pref Series 18                            	TSX       
TD.PF.K   	TD Bank Pref Series 20                            	TSX       
TDB       	TD CDN Aggregate Bond Index ETF                   	TSX       
TDG       	Trinidad Drilling Ltd                             	TSX       
TECK.A    	Teck Resources Limited Cl A                       	TSX       
TECK.B    	Teck Resources Limited Cl B                       	TSX       
TEI       	Toscana Energy Income Corp                        	TSX       
TEI.DB    	Toscana Energy Income Corp 6.75 Pct Debs          	TSX       
TEV       	Tervita Corporation                               	TSX       
TEV.WT    	Tervita Corporation Wts                           	TSX       
TF        	Timbercreek Financial Corp                        	TSX       
TF.DB.A   	Timbercreek Financial Corp 5.40 Pct Debs          	TSX       
TF.DB.B   	Timbercreek Financial Corp 5.45 Pct Debs          	TSX       
TF.DB.C   	Timbercreek Financial Corp 5.30 Pct Debs          	TSX       
TFII      	Tfi International Inc                             	TSX       
TGL       	Transglobe Energy Corp                            	TSX       
TGO       	Terago Inc                                        	TSX       
TGOD      	The Green Organic Dutchman Holdings Ltd           	TSX       
TGOD.WT   	The Green Organic Dutchman Holdings Wts           	TSX       
TGZ       	Teranga Gold Corp                                 	TSX       
TH        	Theratechnologies                                 	TSX       
TH.DB.U   	Theratechnologies 5.75 Pct Debs                   	TSX       
The       	TD Intl Equity CAD Hedge Index ETF                	TSX       
THNK      	Coincapital Stoxx Brain Index Fund                	TSX       
THO       	Tahoe Resources Inc                               	TSX       
THU       	TD S&P 500 CAD Hedge Index ETF                    	TSX       
TI        	Titan Mining Corporation                          	TSX       
TIH       	Toromont Ind                                      	TSX       
TIME      	Evolve Active Short Dur Bond ETF                  	TSX       
TIME.B    	Evolve Active Short Dur Bond Unheg                	TSX       
TKO       	Taseko Mines Ltd                                  	TSX       
TLF       	Tech Leaders Income ETF                           	TSX       
TLG       	Troilus Gold Corp                                 	TSX       
TLO       	Talon Metals Corp                                 	TSX       
TLV       	Powershares S&P TSX Low Vol ETF                   	TSX       
TMD       	Titan Medical Inc                                 	TSX       
TMD.WT.F  	Titan Medical Inc Wts Cl F                        	TSX       
TMD.WT.G  	Titan Medical Inc Wts Cl G                        	TSX       
TMD.WT.H  	Titan Medical Inc Wts Cl H                        	TSX       
TMD.WT.I  	Titan Medical Inc Wts Cl I                        	TSX       
TMI       	Trimetals Mining Inc                              	TSX       
TMI.B     	Trimetals Mining Inc Class B                      	TSX       
TML       	Treasury Metals Inc                               	TSX       
TMQ       	Trilogy Metals Inc                                	TSX       
TMR       	Tmac Resources Inc                                	TSX       
TNP       	Transatlantic Petroleum Ltd                       	TSX       
TNT.UN    	True North Commercial REIT                        	TSX       
TNX       	Tanzanian Royalty Exploration Corp                	TSX       
TOF.UN    	Taylor North American Eqy Opp Fd                  	TSX       
TOG       	Torc Oil and Gas Ltd                              	TSX       
TOS       	Tso3 Inc                                          	TSX       
TOT       	Total Energy Services Inc                         	TSX       
TOU       	Tourmaline Oil Corp                               	TSX       
TOY       	Spin Master Corp                                  	TSX       
TPE       	TD International Equity Index ETF                 	TSX       
TPH       	Temple Hotels Inc                                 	TSX       
TPH.DB.E  	Temple Hotels Inc 7.25 Pct Debs                   	TSX       
TPRF      	TD Active Preferred Share ETF                     	TSX       
TPU       	TD S&P 500 Index ETF                              	TSX       
TPX.A     	Molson Coors Canada Inc Cl.A Lv                   	TSX       
